Tarih(yil_ay);Saat;YukTahminPlan(MWh);PTF(TL/MWh);SMF(TL/MWh);KGUP(MWh);YAL0(MWh);YAL1(MWh);YAT0(MWh);YAT1(MWh);YAL TeslimEdilemeyenMiktar(MWh);YAT TeslimEdilemeyenMiktar(MWh);PFK Fiyat;SFK Fiyat;Column1
201802;0;33700;21712;21712;3106172;129602;0;80833;0;3520;4000;8002;7989;
201802;1;31500;20328;21320;2857952;856082;0;0;0;197560;0;8002;7989;
201802;2;30200;17504;17504;2715295;;;;;;;8002;7989;
201802;3;29100;17801;12800;2636711;0;0;943950;0;0;155430;8002;7989;
201802;4;29100;13210;12500;2615166;0;0;515500;0;0;18310;7002;9801;
201802;5;29300;16884;14000;2637746;0;0;829700;0;0;176090;7002;9801;
201802;6;30300;17505;10500;2731050;0;0;1409700;0;0;238530;7002;9801;
201802;7;32300;21584;12001;2965647;0;0;1679234;0;0;167770;7002;9801;
201802;8;36700;21589;14000;3343432;830167;0;1572500;0;104710;168150;9999;5993;
201802;9;39200;21773;13000;3605838;293652;0;1764948;0;13700;154140;9999;5993;
201802;10;39300;21678;13000;3622296;0;0;1631000;0;0;167570;9999;5993;
201802;11;39300;21667;13000;3651021;0;0;1634800;0;0;150000;9999;5993;
201802;12;37200;16999;12400;3468237;0;0;2275344;0;0;714530;9999;5814;
201802;13;37400;17504;12140;3477142;0;0;2227900;0;0;530890;9999;5814;
201802;14;37600;17505;12500;3509590;0;0;1720050;0;0;531740;9999;5814;
201802;15;37100;16999;12140;3525981;0;0;2579984;0;0;543690;9999;5814;
201802;16;37500;21524;13000;3561072;29333;0;2293017;0;0;447290;9000;5442;
201802;17;38400;18400;12500;3607207;0;0;2229633;0;0;721630;9000;5442;
201802;18;39400;18400;12400;3661924;0;0;2412000;0;0;799880;9000;5442;
201802;19;39100;17505;12500;3581245;0;0;2204500;0;0;777670;9000;5442;
201802;20;38200;18996;12500;3474618;0;0;2125000;0;0;748710;8001;5814;
201802;21;37200;14900;13000;3374771;0;0;1159399;0;0;354320;8001;5814;
201802;22;36400;16884;12000;3353317;0;0;1448051;0;0;269584;8001;5814;
201802;23;35400;12999;11400;3215368;49200;0;930619;0;767;160320;8001;5814;
201802;0;33700;20505;17453;3032538;34100;0;180000;0;10000;0;8000;6530;
201802;1;31500;16600;16600;2811589;183333;0;0;0;;0;8000;6530;
201802;2;30200;12501;12501;2697175;;;;;;;8000;6530;
201802;3;29100;13000;13000;2610491;;;;;;;8000;6530;
201802;4;29100;13000;12105;2610144;0;0;127999;0;0;1453;7000;6971;
201802;5;29300;13000;12100;2623067;0;0;505883;0;0;25600;7000;6971;
201802;6;30300;17450;12105;2701520;0;0;1073062;0;0;149120;7000;6971;
201802;7;32300;19192;12500;2906576;147567;0;1345415;0;1887;193763;7000;6971;
201802;8;36700;17499;12829;3313181;702501;0;1366685;0;26880;84308;6980;5689;
201802;9;39200;21523;21523;3582778;;;;;;;6980;5689;
201802;10;39300;20479;18200;3625834;9000;0;659000;0;1309;13920;6980;5689;
201802;11;39300;20479;20400;3651311;0;0;472000;0;0;;6980;5689;
201802;12;37000;17404;17404;3476739;104167;0;260065;0;0;45546;6980;4716;
201802;13;37000;13000;12105;3371993;0;0;491582;0;0;1100;6980;4716;
201802;14;37600;17499;17000;3515901;0;0;483084;0;0;52967;6980;4716;
